2021-09-07 17:10:49 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2021-09-07 17:10:50 INFO  log:192 - Logging initialized @2613ms
2021-09-07 17:10:50 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2021-09-07 17:10:50 INFO  Server:419 - Started @2717ms
2021-09-07 17:10:50 WARN  Utils:66 - Service 'SparkUI' could not bind on port 4040. Attempting port 4041.
2021-09-07 17:10:50 INFO  AbstractConnector:278 - Started ServerConnector@5769e7ae{HTTP/1.1,[http/1.1]}{0.0.0.0:4041}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@62da83ed{/jobs,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@30c31dd7{/jobs/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@499b2a5c{/jobs/job,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@c1fca1e{/jobs/job/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@241a53ef{/stages,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@344344fa{/stages/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2db2cd5{/stages/stage,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@285f09de{/stages/stage/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@73393584{/stages/pool,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@31500940{/stages/pool/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@66238be2{/storage,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1c25b8a7{/storage/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@200606de{/storage/rdd,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@750fe12e{/storage/rdd/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@f8908f6{/environment,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3e587920{/environment/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2ef8a8c3{/executors,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@24f43aa3{/executors/json,null,AVAILABLE,@Spark}
2021-09-07 17:10:50 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@63fd4873{/executors/threadDump,null,AVAILABLE,@Spark}
